subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Emerging Concepts in MGMT.,MGMT511,4,1,Central Campus of Management ,Master of Business Studies,Master
Accounting for Managers,MGMT512,4,1,Central Campus of Management ,Master of Business Studies,Master
Managerial Economics,MGMT513,4,1,Central Campus of Management ,Master of Business Studies,Master
Human Resoure Management,MGMT514,4,1,Central Campus of Management ,Master of Business Studies,Master
Statistics for Business Decisions,MGMT515,4,1,Central Campus of Management ,Master of Business Studies,Master
Marketing Management,MGMT521,4,2,Central Campus of Management ,Master of Business Studies,Master
Banking and Insurance,MGMT522,4,2,Central Campus of Management ,Master of Business Studies,Master
International Business,MGMT523,4,2,Central Campus of Management ,Master of Business Studies,Master
Organizational Behavior,MGMT524,4,2,Central Campus of Management ,Master of Business Studies,Master
Cost and Management Accounting,MGMT525,4,2,Central Campus of Management ,Master of Business Studies,Master
Entrepreneurship Development,MGMT531,4,3,Central Campus of Management ,Master of Business Studies,Master
Operation Management,MGMT532,4,3,Central Campus of Management ,Master of Business Studies,Master
Corporate and Business Law,MGMT533,4,3,Central Campus of Management ,Master of Business Studies,Master
Business Research Methods,MGMT534,4,3,Central Campus of Management ,Master of Business Studies,Master
Financial Management,MGMT535,4,3,Central Campus of Management ,Master of Business Studies,Master
Strategic Management,MGMT536,4,3,Central Campus of Management ,Master of Business Studies,Master
Project Management,MGMT541,4,4,Central Campus of Management ,Master of Business Studies,Master
Thesis,MGMT542,10,4,Central Campus of Management ,Master of Business Studies,Master
Financial Institutions & Markets,FIN545,4,4,Central Campus of Management ,Master of Business Studies,Master
Investment Analysis,FIN546,4,4,Central Campus of Management ,Master of Business Studies,Master
Derivatives and Risk Management,FIN547,4,4,Central Campus of Management ,Master of Business Studies,Master
Taxation,ACC545,4,4,Central Campus of Management ,Master of Business Studies,Master
Advance Auditing,ACC546,4,4,Central Campus of Management ,Master of Business Studies,Master
Accounting for Financial Institutions,ACC547,4,4,Central Campus of Management ,Master of Business Studies,Master
Accounting Theory and Practice,ACC548,4,4,Central Campus of Management ,Master of Business Studies,Master
Training & Human Resource Dev.,HRM545,4,4,Central Campus of Management ,Master of Business Studies,Master
Compensation & Performance MGMT.,HRM546,4,4,Central Campus of Management ,Master of Business Studies,Master
Industrial Relation & Labor Laws,HRM547,4,4,Central Campus of Management ,Master of Business Studies,Master
Organizational Development,HRM548,4,4,Central Campus of Management ,Master of Business Studies,Master
"Sales,Distribution & Retail Mgmt.",MKT545,4,4,Central Campus of Management ,Master of Business Studies,Master
Consumer Behavior,MKT546,4,4,Central Campus of Management ,Master of Business Studies,Master
